PO No,Forwarder Name,PO Created By,Vendor Code,Vendor Name,Vendor Country Name,Consignee Code,Incoterm Origin,PO Delivery Date,PO Item,Material No,Material Short Text,PO Quantity,Total GR Qty,PO Line Process,PO Line Status
68037543,,MSERGIO,1900021010,Smurfit Westrock Sverige AB,Sweden,X12002,DAP,2024-05-24,10,S0782379,"Safety box f.used syrg/ndl5L,Smur/BOX-25",3456,3456,LTA,CLOSED
68037537,Kuehne + Nagel A/S,MSERGIO,1900016466,Anhui Tiankang Medical Technology C,China,X12001,FCA,2024-09-21,30,S0782329,"Syringe,RUP,5ml,BiPackNdl,Anhui/BOX-100",20448,20448,LTA,CLOSED
68037536,,MSERGIO,1900005906,Hindustan Syringes & Medical,India,X12001,DAP,2024-07-28,20,S0782333,"Syringe,A-D,1.0ml,w/ndl/BOX-100",2160,2160,LTA,CLOSED
68037537,Kuehne + Nagel A/S,MSERGIO,1900016466,Anhui Tiankang Medical Technology C,China,X12001,FCA,2024-09-21,50,S0782162,"Syringe,A-D,0.05ml,Anhui/BOX-100",22032,22032,LTA,CLOSED
68037539,,MSERGIO,1900000378,BD International,Belgium,X12001,DAP,2024-06-21,10,S0782185,"Syringe,A-D,0.5ml,Soloshot Mini/BOX-200",50004,50004,LTA,CLOSED
68037544,,MSERGIO,1900011349,KD Medical GmbH Hospital Products,Germany,X12002,DAP,2024-06-10,50,S0782413,"Syringe,disp,10ml,ster/BOX-100",660,660,LTA,CLOSED
68037543,,MSERGIO,1900021010,Smurfit Westrock Sverige AB,Sweden,X12002,DAP,2024-05-29,20,S0782379,"Safety box f.used syrg/ndl5L,Smur/BOX-25",3456,3456,LTA,CLOSED
68037543,,MSERGIO,1900021010,Smurfit Westrock Sverige AB,Sweden,X12002,DAP,2024-06-05,30,S0782379,"Safety box f.used syrg/ndl5L,Smur/BOX-25",3456,3456,LTA,CLOSED
68037514,,MKAZEMI,1900019343,NutriCorp International,Canada,X12001,DAP,2024-10-25,10,S1583010,"Retinol 200,000IU soft gel.caps/PAC-100",72411,30181,LTA,OPEN
68037514,,MKAZEMI,1900019343,NutriCorp International,Canada,X12002,DAP,2024-09-27,20,S1583010,"Retinol 200,000IU soft gel.caps/PAC-100",11000,11000,LTA,CLOSED
68037579,,TNIELSEN,1900001026,B Braun Melsungen AG,Germany,X12004,DAP,2024-10-04,10,S1564337,Sodium Chloride 0.9% inj 10ml amp/BOX-20,4800,4800,LTA,CLOSED
68037517,,MKAZEMI,1900018197,Reyoung Pharmaceutical Co Ltd,China,X12001,DAP,2024-09-08,10,S1555964,Paracetamol 500mg tabs/PAC-10x10,201600,201600,LTA,CLOSED
68037526,,MKAZEMI,1900006253,Ipca Laboratories Limited,India,X12001,DAP,2024-12-12,10,S1555964,Paracetamol 500mg tabs/PAC-10x10,279509,279509,LTA,CLOSED
68037518,,MKAZEMI,1900014773,MEDOPHARM,India,X12001,DAP,2024-10-09,10,S1555370,Albendazole 400mg chewable tabs/PAC-100,207000,207000,LTA,CLOSED
68037519,,MKAZEMI,1900015853,Mepro Pharmaceuticals Pvt Ltd,India,X12001,DAP,2024-11-12,10,S1555370,Albendazole 400mg chewable tabs/PAC-100,158400,159871,LTA,CLOSED
68037547,,MKAZEMI,1900000292,Nutriset S.A.S,France,X12004,DAP,2024-12-21,10,S1580020,Zinc 20mg tablets/PAC-10x10,133056,133056,LTA,CLOSED
68037580,,MKAZEMI,1900006253,Ipca Laboratories Limited,India,X12001,DAP,2024-11-15,10,S1580020,Zinc 20mg tablets/PAC-10x10,150000,149131,LTA,CLOSED
68037604,Scan Global Logistics A/S,LSUN,1900020904,"Hangzhou Biotest Biotech Co., Ltd",China,X12002,FCA,2024-06-24,10,S0584506,"Pregnancy,Urine,HCG,MidStream,1T/kit",10000,10000,LTA,CLOSED
